"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Portugal (PT)","13.02.2022 11:00 - 13.02.2022 12:00 (UTC)","412","n/e","n/e","n/e","252","0","n/e","n/e","n/e","n/e","0","1074","218","8","n/e","n/e","27","n/e","432","n/e","25","2685"
"Portugal (PT)","13.02.2022 12:00 - 13.02.2022 13:00 (UTC)","415","n/e","n/e","n/e","249","0","n/e","n/e","n/e","n/e","1","1105","190","1","n/e","n/e","27","n/e","461","n/e","25","2980"
"Portugal (PT)","13.02.2022 13:00 - 13.02.2022 14:00 (UTC)","414","n/e","n/e","n/e","248","0","n/e","n/e","n/e","n/e","23","1153","203","0","n/e","n/e","28","n/e","463","n/e","25","3253"
"Portugal (PT)","13.02.2022 14:00 - 13.02.2022 15:00 (UTC)","414","n/e","n/e","n/e","248","0","n/e","n/e","n/e","n/e","0","1345","211","0","n/e","n/e","28","n/e","370","n/e","25","3488"
"Portugal (PT)","13.02.2022 15:00 - 13.02.2022 16:00 (UTC)","417","n/e","n/e","n/e","249","0","n/e","n/e","n/e","n/e","0","1223","133","1","n/e","n/e","28","n/e","197","n/e","19","3770"
"Portugal (PT)","13.02.2022 16:00 - 13.02.2022 17:00 (UTC)","420","n/e","n/e","n/e","328","0","n/e","n/e","n/e","n/e","0","1004","181","8","n/e","n/e","28","n/e","97","n/e","15","3821"
"Portugal (PT)","13.02.2022 17:00 - 13.02.2022 18:00 (UTC)","418","n/e","n/e","n/e","436","0","n/e","n/e","n/e","n/e","22","852","216","40","n/e","n/e","28","n/e","26","n/e","16","3746"
"Portugal (PT)","13.02.2022 18:00 - 13.02.2022 19:00 (UTC)","420","n/e","n/e","n/e","539","0","n/e","n/e","n/e","n/e","737","41","336","176","n/e","n/e","28","n/e","0","n/e","11","3429"
"Portugal (PT)","13.02.2022 19:00 - 13.02.2022 20:00 (UTC)","417","n/e","n/e","n/e","580","0","n/e","n/e","n/e","n/e","1007","1","531","118","n/e","n/e","28","n/e","0","n/e","8","3306"
"Portugal (PT)","13.02.2022 20:00 - 13.02.2022 21:00 (UTC)","425","n/e","n/e","n/e","494","0","n/e","n/e","n/e","n/e","976","1","576","119","n/e","n/e","28","n/e","0","n/e","8","3190"
"Portugal (PT)","13.02.2022 21:00 - 13.02.2022 22:00 (UTC)","421","n/e","n/e","n/e","495","0","n/e","n/e","n/e","n/e","75","178","284","64","n/e","n/e","28","n/e","0","n/e","7","3021"
"Portugal (PT)","13.02.2022 22:00 - 13.02.2022 23:00 (UTC)","415","n/e","n/e","n/e","498","0","n/e","n/e","n/e","n/e","3","1049","133","5","n/e","n/e","28","n/e","0","n/e","10","2907"
"Portugal (PT)","13.02.2022 23:00 - 14.02.2022 00:00 (UTC)","417","n/e","n/e","n/e","488","0","n/e","n/e","n/e","n/e","0","1880","194","0","n/e","n/e","29","n/e","0","n/e","10","3009"
"Portugal (PT)","14.02.2022 00:00 - 14.02.2022 01:00 (UTC)","419","n/e","n/e","n/e","495","0","n/e","n/e","n/e","n/e","0","1955","129","1","n/e","n/e","29","n/e","0","n/e","5","3135"
"Portugal (PT)","14.02.2022 01:00 - 14.02.2022 02:00 (UTC)","420","n/e","n/e","n/e","499","0","n/e","n/e","n/e","n/e","0","1994","45","8","n/e","n/e","28","n/e","0","n/e","0","3207"
"Portugal (PT)","14.02.2022 02:00 - 14.02.2022 03:00 (UTC)","418","n/e","n/e","n/e","536","0","n/e","n/e","n/e","n/e","0","1817","83","0","n/e","n/e","28","n/e","0","n/e","0","2995"
"Portugal (PT)","14.02.2022 03:00 - 14.02.2022 04:00 (UTC)","414","n/e","n/e","n/e","526","0","n/e","n/e","n/e","n/e","0","1879","41","0","n/e","n/e","27","n/e","0","n/e","0","2924"
"Portugal (PT)","14.02.2022 04:00 - 14.02.2022 05:00 (UTC)","416","n/e","n/e","n/e","581","0","n/e","n/e","n/e","n/e","0","1785","44","0","n/e","n/e","27","n/e","0","n/e","0","2852"
"Portugal (PT)","14.02.2022 05:00 - 14.02.2022 06:00 (UTC)","417","n/e","n/e","n/e","700","0","n/e","n/e","n/e","n/e","2","1113","84","1","n/e","n/e","27","n/e","0","n/e","0","2564"
"Portugal (PT)","14.02.2022 06:00 - 14.02.2022 07:00 (UTC)","412","n/e","n/e","n/e","1010","0","n/e","n/e","n/e","n/e","126","106","292","9","n/e","n/e","28","n/e","0","n/e","0","2386"
"Portugal (PT)","14.02.2022 07:00 - 14.02.2022 08:00 (UTC)","413","n/e","n/e","n/e","1620","0","n/e","n/e","n/e","n/e","1107","2","360","48","n/e","n/e","27","n/e","16","n/e","0","2259"
"Portugal (PT)","14.02.2022 08:00 - 14.02.2022 09:00 (UTC)","410","n/e","n/e","n/e","1875","0","n/e","n/e","n/e","n/e","1073","1","363","48","n/e","n/e","27","n/e","244","n/e","1","2030"
"Portugal (PT)","14.02.2022 09:00 - 14.02.2022 10:00 (UTC)","407","n/e","n/e","n/e","1924","0","n/e","n/e","n/e","n/e","147","18","194","3","n/e","n/e","23","n/e","620","n/e","14","1887"
"Portugal (PT)","14.02.2022 10:00 - 14.02.2022 11:00 (UTC)","412","n/e","n/e","n/e","1846","0","n/e","n/e","n/e","n/e","0","504","165","1","n/e","n/e","22","n/e","806","n/e","17","1944"
"Portugal (PT)","14.02.2022 11:00 - 14.02.2022 12:00 (UTC)","420","n/e","n/e","n/e","1673","0","n/e","n/e","n/e","n/e","0","797","85","8","n/e","n/e","25","n/e","832","n/e","16","2067"
"Portugal (PT)","14.02.2022 12:00 - 14.02.2022 13:00 (UTC)","424","n/e","n/e","n/e","1489","0","n/e","n/e","n/e","n/e","5","954","75","0","n/e","n/e","28","n/e","768","n/e","16","2201"
"Portugal (PT)","14.02.2022 13:00 - 14.02.2022 14:00 (UTC)","414","n/e","n/e","n/e","1462","0","n/e","n/e","n/e","n/e","0","1322","60","0","n/e","n/e","29","n/e","737","n/e","14","2345"
"Portugal (PT)","14.02.2022 14:00 - 14.02.2022 15:00 (UTC)","410","n/e","n/e","n/e","1480","0","n/e","n/e","n/e","n/e","0","1037","50","0","n/e","n/e","29","n/e","748","n/e","9","2181"
"Portugal (PT)","14.02.2022 15:00 - 14.02.2022 16:00 (UTC)","412","n/e","n/e","n/e","1460","0","n/e","n/e","n/e","n/e","50","1199","49","1","n/e","n/e","29","n/e","589","n/e","13","2241"
"Portugal (PT)","14.02.2022 16:00 - 14.02.2022 17:00 (UTC)","425","n/e","n/e","n/e","1853","0","n/e","n/e","n/e","n/e","42","763","62","38","n/e","n/e","28","n/e","436","n/e","7","2319"
"Portugal (PT)","14.02.2022 17:00 - 14.02.2022 18:00 (UTC)","423","n/e","n/e","n/e","2093","0","n/e","n/e","n/e","n/e","531","4","356","110","n/e","n/e","28","n/e","122","n/e","8","2035"
"Portugal (PT)","14.02.2022 18:00 - 14.02.2022 19:00 (UTC)","426","n/e","n/e","n/e","2100","0","n/e","n/e","n/e","n/e","1399","2","664","290","n/e","n/e","29","n/e","1","n/e","7","1893"
"Portugal (PT)","14.02.2022 19:00 - 14.02.2022 20:00 (UTC)","426","n/e","n/e","n/e","2080","0","n/e","n/e","n/e","n/e","1268","1","737","232","n/e","n/e","28","n/e","0","n/e","4","1794"
"Portugal (PT)","14.02.2022 20:00 - 14.02.2022 21:00 (UTC)","426","n/e","n/e","n/e","2095","0","n/e","n/e","n/e","n/e","964","2","322","228","n/e","n/e","29","n/e","0","n/e","5","1808"
"Portugal (PT)","14.02.2022 21:00 - 14.02.2022 22:00 (UTC)","422","n/e","n/e","n/e","2058","0","n/e","n/e","n/e","n/e","197","5","79","112","n/e","n/e","29","n/e","0","n/e","3","1594"
"Portugal (PT)","14.02.2022 22:00 - 14.02.2022 23:00 (UTC)","414","n/e","n/e","n/e","1909","0","n/e","n/e","n/e","n/e","110","5","145","85","n/e","n/e","28","n/e","0","n/e","2","1321"
"Portugal (PT)","14.02.2022 23:00 - 15.02.2022 00:00 (UTC)","416","n/e","n/e","n/e","1780","0","n/e","n/e","n/e","n/e","26","6","158","0","n/e","n/e","29","n/e","0","n/e","1","1245"
"Portugal (PT)","15.02.2022 00:00 - 15.02.2022 01:00 (UTC)","417","n/e","n/e","n/e","1605","0","n/e","n/e","n/e","n/e","3","101","227","0","n/e","n/e","29","n/e","0","n/e","0","1074"
"Portugal (PT)","15.02.2022 01:00 - 15.02.2022 02:00 (UTC)","403","n/e","n/e","n/e","1600","0","n/e","n/e","n/e","n/e","0","109","82","7","n/e","n/e","29","n/e","0","n/e","0","930"
"Portugal (PT)","15.02.2022 02:00 - 15.02.2022 03:00 (UTC)","411","n/e","n/e","n/e","1542","0","n/e","n/e","n/e","n/e","0","39","40","0","n/e","n/e","28","n/e","0","n/e","0","906"
"Portugal (PT)","15.02.2022 03:00 - 15.02.2022 04:00 (UTC)","415","n/e","n/e","n/e","1329","0","n/e","n/e","n/e","n/e","0","599","40","0","n/e","n/e","29","n/e","0","n/e","1","1332"
"Portugal (PT)","15.02.2022 04:00 - 15.02.2022 05:00 (UTC)","419","n/e","n/e","n/e","1534","0","n/e","n/e","n/e","n/e","0","532","49","0","n/e","n/e","28","n/e","0","n/e","1","1136"
"Portugal (PT)","15.02.2022 05:00 - 15.02.2022 06:00 (UTC)","418","n/e","n/e","n/e","2011","0","n/e","n/e","n/e","n/e","14","219","88","1","n/e","n/e","28","n/e","0","n/e","1","1148"
"Portugal (PT)","15.02.2022 06:00 - 15.02.2022 07:00 (UTC)","404","n/e","n/e","n/e","2339","0","n/e","n/e","n/e","n/e","872","2","568","51","n/e","n/e","27","n/e","0","n/e","2","1139"
